Prep,Run,Number,Sample,Cell Line,clid,Timepoint,serum,Harvest,Label_num,Tag,Exp_rep,TMT.Reporter,label,condition,replicate
Prep_09,TMT34,169,P0363,G12,698,48,starve,180828,129,R4,1,TMT34_R4,TMT34_R4,Afat.48.698.starve,1
Prep_10,TMT35,171,P0348,G8,697,0,starve,180824,126,R1,1,TMT35_R1,TMT35_R1,Afat.0.697.starve,1
Prep_10,TMT35,172,P0349,G8,697,4,starve,180824,127,R2,1,TMT35_R2,TMT35_R2,Afat.4.697.starve,1
Prep_10,TMT35,173,P0350,G8,697,24,starve,180825,128,R3,1,TMT35_R3,TMT35_R3,Afat.24.697.starve,1
Prep_10,TMT35,174,P0351,G8,697,48,starve,180826,129,R4,1,TMT35_R4,TMT35_R4,Afat.48.697.starve,1
Prep_10,TMT36,176,P0336,G5,696,0,starve,180826,126,R1,1,TMT36_R1,TMT36_R1,Afat.0.696.starve,1
Prep_10,TMT36,177,P0337,G5,696,4,starve,180826,127,R2,1,TMT36_R2,TMT36_R2,Afat.4.696.starve,1
Prep_10,TMT36,178,P0338,G5,696,24,starve,180827,128,R3,1,TMT36_R3,TMT36_R3,Afat.24.696.starve,1
Prep_10,TMT36,179,P0339,G5,696,48,starve,180828,129,R4,1,TMT36_R4,TMT36_R4,Afat.48.696.starve,1
Prep_10,TMT37,181,P0324,G1,695,0,starve,180824,126,R1,1,TMT37_R1,TMT37_R1,Afat.0.695.starve,1
Prep_10,TMT37,182,P0325,G1,695,4,starve,180824,127,R2,1,TMT37_R2,TMT37_R2,Afat.4.695.starve,1
Prep_10,TMT37,183,P0326,G1,695,24,starve,180825,128,R3,1,TMT37_R3,TMT37_R3,Afat.24.695.starve,1
Prep_10,TMT37,184,P0327,G1,695,48,starve,180826,129,R4,1,TMT37_R4,TMT37_R4,Afat.48.695.starve,1
Prep_10,TMT38,186,P0196,E5,694,0,starve,180722,126,R1,1,TMT38_R1,TMT38_R1,Afat.0.694.starve,1
