"","x"
"644","Trp53"
"645","Trpv3"
"646","Trub1"
"647","Tspan2"
"648","Ttf2"
"649","Tube1"
"650","Txn1"
"651","Txndc11"
"652","Txnrd1"
"653","U2af1"
"654","Uap1"
"655","Ube2f"
"656","Ubl4a"
"657","Uchl3"
"658","Uchl5"
"659","Ufsp1"
"660","Ugdh"
"661","Unc5a"
"662","Ung"
"663","Uqcrq"
"664","Urb2"
"665","Usp36"
"666","Usp39"
"667","Usp44"
"668","Usp50"
"669","Utp18"
"670","Vmn1r43"
"671","Vps37b"
"672","Wars1"
"673","Wdr12"
"674","Wdr5"
"675","Wdr74"
"676","Wdr75"
"677","Wdr83os"
"678","Wdr90"
"679","Wwtr1"
"680","Xbp1"
"681","Xlr3a"
"682","Xpo1"
"683","Xpo4"
"684","Xpot"
"685","Xrcc3"
"686","Yae1d1"
"687","Ybx3"
"688","Yrdc"
"689","Yy2"
"690","Zc3h8"
"691","Zdhhc2"
"692","Zfand2a"
"693","Zfand4"
"694","Zfp469"
"695","Zfp473"
"696","Zfp593"
"697","Zfp819"
"698","Zfp850"
"699","Zfp978"
"700","Zfp979"
"701","Znhit6"
"702","Zscan4b"
