"","x"
"711","Rgma"
"712","Rgs9bp"
"713","Rhd"
"714","Rigi"
"715","Rin2"
"716","Rnase1"
"717","Rnase4"
"718","Rnasel"
"719","Rnf122"
"720","Rnf152"
"721","Rnf167"
"722","Rnf207"
"723","Rom1"
"724","Rora"
"725","Rorc"
"726","Rsph9"
"727","Rtn4r"
"728","Rtp4"
"729","Rubcnl"
"730","Rufy4"
"731","Rundc3a"
"732","S100a7a"
"733","S1pr2"
"734","Sash1"
"735","Sbk2"
"736","Scg2"
"737","Scml4"
"738","Scn1b"
"739","Scx"
"740","Sdc2"
"741","Sdf2"
"742","Sdk2"
"743","Sec14l2"
"744","Sec31b"
"745","Selenbp1"
"746","Selenop"
"747","Sema3b"
"748","Sema3c"
"749","Sema3f"
"750","Sema6c"
"751","Septin4"
"752","Serinc3"
"753","Serinc5"
"754","Serpina3k"
"755","Serpina3m"
"756","Serpina3n"
"757","Serpinb8"
"758","Serpinb9"
"759","Sesn1"
"760","Sesn3"
"761","Setbp1"
"762","Sgsm2"
"763","Shank2"
"764","Siae"
"765","Sirt3"
"766","Sirt5"
"767","Six5"
"768","Skap2"
"769","Slc12a6"
"770","Slc13a3"
"771","Slc15a2"
"772","Slc16a10"
"773","Slc17a5"
"774","Slc22a18"
"775","Slc25a23"
"776","Slc25a27"
"777","Slc25a42"
"778","Slc25a45"
"779","Slc2a12"
"780","Slc2a8"
"781","Slc31a2"
"782","Slc35f3"
"783","Slc41a3"
"784","Slc43a2"
"785","Slc44a1"
"786","Slc45a3"
"787","Slc46a3"
"788","Slc7a4"
"789","Slc8b1"
"790","Slco2b1"
"791","Slfn8"
"792","Slitrk6"
"793","Slx1b"
"794","Smarca2"
"795","Smim1"
"796","Snai2"
"797","Snrk"
"798","Sntb1"
"799","Snx15"
"800","Snx32"
"801","Socs3"
"802","Sorbs3"
"803","Sorcs2"
"804","Sord"
"805","Sort1"
"806","Sox12"
"807","Sox21"
"808","Sox6"
"809","Sp100"
"810","Sp6"
"811","Spag6"
"812","Spata2l"
"813","Speg"
"814","Spn"
"815","Spock1"
"816","Spsb2"
"817","Ssc5d"
"818","Sstr2"
"819","Stap2"
"820","Stat1"
"821","Stat3"
"822","Stat5a"
"823","Sting1"
"824","Stoml1"
"825","Stra6l"
"826","Sugct"
"827","Sulf1"
"828","Sulf2"
"829","Susd6"
"830","Sv2a"
"831","Svil"
"832","Svop"
"833","Syngap1"
"834","Syngr3"
"835","Syp"
