"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"Cntd1",0,0,0,1
"Cntfr",0,1,0,1
"Cntn6",0,1,0,1
"Coa7",1,0,1,0
"Cobll1",1,0,0,0
"Col11a2",0,1,0,1
"Col12a1",0,1,0,0
"Col16a1",1,0,0,0
"Col18a1",1,0,1,0
"Col1a2",0,1,0,0
"Col20a1",0,1,0,1
"Col23a1",0,1,0,1
"Col27a1",0,0,0,1
"Col2a1",0,0,0,1
"Col3a1",0,1,0,1
"Col4a3",1,0,1,0
"Col4a4",1,0,1,0
"Col4a5",0,1,0,1
"Col4a6",0,0,0,1
"Col5a3",1,0,0,0
"Col6a1",0,0,0,1
"Col6a2",0,0,0,1
"Col6a3",0,1,0,1
"Col7a1",1,0,0,0
"Col8a1",0,0,0,1
"Col9a3",0,1,0,1
"Comt",0,1,0,1
"Copz2",0,1,0,1
"Coq10a",0,1,0,1
"Coq3",0,0,1,0
"Coq7",0,0,1,0
"Coq8a",0,1,0,1
"Coq8b",0,1,0,1
"Coro1a",0,0,0,1
"Coro1c",0,0,1,0
"Coro6",0,1,0,1
"Cox7a1",0,0,1,0
"Cp",0,1,0,1
"Cpeb1",0,0,0,1
"Cpeb2",0,1,0,1
"Cpeb3",0,1,0,1
"Cpeb4",0,1,0,1
"Cpne7",0,0,1,0
"Cpne8",0,0,0,1
"Cpped1",0,0,0,1
"Cpq",0,1,0,1
"Cpsf2",1,0,1,0
"Cpt1a",0,1,0,1
"Cpt1c",0,1,0,1
"Cracdl",0,0,1,0
"Creb3l1",0,0,0,1
"Creb3l4",0,1,0,1
"Creb5",0,0,1,0
"Crebl2",0,1,0,1
"Crebrf",0,1,0,1
"Creg1",0,1,0,0
"Creld2",1,0,1,0
"Crim1",0,0,0,1
"Crip2",0,0,0,1
"Crlf1",0,0,0,1
"Crls1",0,0,1,0
"Cryab",0,0,0,1
"Crybg1",1,0,0,0
"Crybg3",0,0,1,0
"Crym",1,0,1,0
"Csad",0,0,0,1
"Csdc2",0,1,0,1
"Cse1l",0,0,1,0
"Csf1",0,1,0,0
"Csf2rb2",0,0,0,1
"Cspg4",0,0,0,1
"Csrnp1",0,0,1,0
"Csrp2",1,0,1,0
"Cstad",0,0,0,1
"Cstf2",1,0,1,0
"Ctbs",0,1,0,0
"Cth",1,0,1,0
"Ctnnd1",0,0,0,1
"Ctns",0,1,0,0
"Ctsa",0,1,0,0
"Ctsb",0,1,0,1
"Ctsd",0,1,0,0
"Ctsf",0,1,0,1
"Ctsh",0,1,0,0
"Ctsl",0,1,0,0
"Ctso",0,1,0,1
"Ctxn1",0,1,0,1
"Cubn",0,0,0,1
"Cul9",0,1,0,1
"Cx3cl1",1,0,1,0
"Cxadr",0,0,1,0
"Cxcl10",0,1,0,0
"Cxcr4",0,1,0,1
"Cyb561a3",0,1,0,1
"Cyb561d1",0,1,0,1
"Cyb5a",1,0,0,0
"Cyb5b",1,0,1,0
"Cyb5r1",0,0,1,0
"Cycs",1,0,1,0
"Cyp1a1",1,0,1,0
"Cyp1b1",0,1,0,1
"Cyp26b1",0,1,0,1
"Cyp2b13",1,0,0,0
"Cyp2d22",0,1,0,1
"Cyp2j6",0,1,0,1
"Cyp2j9",0,1,0,1
"Cyp39a1",0,1,0,1
