"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"159","Cyp51","Comt",NA,"Nrxn1","Dyrk3","Crlf1"
"160","Cyrib","Copz2",NA,"Nrxn2","E2f3","Cryab"
"161","Cyth4","Coq10a",NA,"Ntng2","E2f4","Csad"
"162","Dap","Coq8a",NA,"Oas1g","Ears2","Csf2rb2"
"163","Dbf4","Coq8b",NA,"Oas2","Efl1","Cspg4"
"164","Dck","Coro6",NA,"Oasl1","Eftud2","Cstad"
"165","Dclk1","Cp",NA,"Or2ag2b","Egflam","Ctnnd1"
"166","Dclre1b","Cpeb2",NA,"Or2v1","Ehbp1l1","Cubn"
"167","Dctd","Cpeb3",NA,"Orm3","Eif1ad","Cyp46a1"
"168","Dctpp1","Cpeb4",NA,"Ostn","Eif2s1","Dact1"
"169","Ddah1","Cpq",NA,"Parm1","Eif2s2","Dact3"
"170","Ddias","Cpt1a",NA,"Pcdh19","Eif4a3","Dcaf8"
"171","Ddx11","Cpt1c",NA,"Pcdhga4","Eif4e","Dchs1"
"172","Ddx21","Creb3l4",NA,"Phf11b","Eif4ebp1","Dcst2"
"173","Ddx39a","Crebl2",NA,"Phf11d","Eif4g1","Ddah2"
"174","Dek","Crebrf",NA,"Plcb2","Eif5","Ddr1"
"175","Depdc1a","Csdc2",NA,"Postn","Elavl1","Ddx4"
"176","Depdc1b","Ctsb",NA,"Prdm8","Elovl4","Decr2"
"177","Dhcr24","Ctsf",NA,"Rabac1","Enkd1","Dennd2a"
"178","Dhfr","Ctso",NA,"Rabif","Eno1b","Dennd4b"
"179","Diaph3","Ctxn1",NA,"Rasgef1b","Enoph1","Dgkb"
"180","Dis3","Cul9",NA,"Repin1","Eny2","Dgki"
"181","Dkc1","Cxcr4",NA,"Retreg3","Epha8","Dglucy"
"182","Dlgap5","Cyb561a3",NA,"Rnf144a","Erbb3","Dhrs1"
"183","Dna2","Cyb561d1",NA,"Rnf213","Ergic1","Dhtkd1"
"184","Dnajb11","Cyp1b1",NA,"Rpl39","Erh","Dhx57"
"185","Dnajc9","Cyp26b1",NA,"Rps21","Eri1","Dipk1a"
"186","Dnmt1","Cyp2d22",NA,"Rps27","Esf1","Diras1"
"187","Dnph1","Cyp2j6",NA,"Rps27rt","Esyt3","Disc1"
"188","Dntt","Cyp2j9",NA,"Rsad2","Etf1","Dixdc1"
"189","Dpf1","Cyp39a1",NA,"Samd9l","Fam107b","Dkkl1"
"190","Dpf3","Cyp4f13",NA,"Scand1","Farsb","Dlx4"
"191","Dph2","Cyp4f17",NA,"Scara5","Fastkd5","Dnaaf3"
"192","Dscc1","Cyp4v3",NA,"Scn11a","Fhdc1","Dnaaf4"
"193","Dtl","Dbndd1",NA,"Sema4d","Fhip1a","Dnajc6"
"194","Dusp4","Dbp",NA,"Sema5a","Fkbp2","Dnase2a"
"195","Dusp6","Dcaf6",NA,"Sema5b","Fkbp4","Dock9"
"196","Dusp9","Dcxr",NA,"Sema6a","Flvcr1","Dok4"
"197","Dut","Ddb2",NA,"Serpinb1b","Foxa3","Dram1"
"198","Dync1li1","Ddit4",NA,"Sgk3","Foxl1","Draxin"
"199","E2f1","Ddo",NA,"Sh2d4b","Foxn2","Dstyk"
"200","E2f2","Ddx60",NA,"Sh2d6","Frmd4a","Dtna"
"201","E2f7","Dedd2",NA,"Shank1","Fth1","Dtx4"
"202","E2f8","Dennd2c",NA,"Shfl","Ftsj3","Dysf"
"203","Eaf1","Depp1",NA,"Slc12a9","Fubp1","Dzank1"
"204","Ebna1bp2","Dffb",NA,"Slc16a2","Fut1","Dzip1"
"205","Ect2","Dgat2",NA,"Slc17a8","Fut8","Ech1"
"206","Eef1e1","Dgka",NA,"Slc25a53","G3bp1","Eef2k"
"207","Efcab11","Dhx58",NA,"Slc27a6","G3bp2","Efhc1"
"208","Efr3b","Dipk1b",NA,"Slc38a9","Gad2","Efnb1"
"209","Ehd1","Dlg4",NA,"Slc40a1","Garre1","Egr1"
"210","Eif1a","Dll1",NA,"Slpi","Gcnt3","Egr3"
"211","Eif2b3","Dll4",NA,"Sp140","Gdf15","Ehbp1"
"212","Eif3b","Dnajc28",NA,"Spon1","Gemin4","Ehd2"
"213","Eif5a","Dnase1l1",NA,"Sppl2a","Gemin5","Ehf"
"214","Elfn2","Dnm1",NA,"Stat2","Gfod1","Ell3"
"215","Elovl6","Dnm3",NA,"Steap4","Ghitm","Elovl7"
"216","Eme1","Doc2g",NA,"Susd1","Gjb4","Emid1"
"217","Eno1","Dock2",NA,"Synm","Gli1","Emilin2"
"218","Eomes","Dpp6",NA,"Tbkbp1","Glrp1","Emp1"
"219","Epha2","Dqx1",NA,"Tdrd9","Gm6525","Enpp3"
"220","Epop","Drc1",NA,"Tenm4","Gmfg","Entpd2"
"221","Eps8","Dthd1",NA,"Tent5a","Gmppb","Entrep1"
"222","Ercc6l","Dtx3l",NA,"Tep1","Gnl3","Epdr1"
"223","Erg28","Dusp15",NA,"Tex26","Golm2","Epor"
"224","Ero1b","Dyrk1b",NA,"Tiam2","Got1","Eppk1"
"225","Errfi1","Ebf4",NA,"Tlr3","Gpd2","Ercc5"
